District,total_crime,risk_score
Kota City,5667.0,12.628975107525683
Kota Rural,2706.0,6.030352327680342
Kotputli-Behror,4965.0,11.064559980389097
Kottayam,30534.0,68.04537249571011
Kowai,239.0,0.5326142669311167
Kozhikode Commr,10605.0,23.633365275332604
Kozhikode Rural,6994.0,15.586209970360795
Kra Dadi,24.0,0.053484277850823436
Krishna,6229.0,13.8813986138658
Krishnagar,5782.0,12.885253938894211
Krishnagiri,5254.0,11.708599826176098
Kulgam,802.0,1.7872662848483496
Kullu,811.0,1.8073228890424085
Kumaram Bheem Asifabad,1046.0,2.3310231096650544
Kupwara,647.0,1.4418469903951152
Kurnool,7860.0,17.516100996144676
Kurukshetra,4678.0,10.424977157756334
Kurung Kumey,28.0,0.06239832415929401
Kushi Nagar,7458.0,16.620239342143385
Lahaul & Spiti,80.0,0.17828092616941146
Lakhimpur,1154.0,2.5717023599937603
Lakhisarai,2296.0,5.1166625810621085
Lakshadweep,76.0,0.16936687986094087
Lalitpur,2109.0,4.69993091614111
Latehar,856.0,1.9076059100127023
Latur,6423.0,14.313729859826621
Lawngtlai,68.0,0.15153878724399975
Leh,291.0,0.6484968689412342
Leparada,44.0,0.0980545093931763
Lohardagga,711.0,1.584471731330644
Lohit,82.0,0.18273794932364673
Longding,54.0,0.12033962516435272
Longleng,32.0,0.07131237046776459
Lower Dibang Valley,68.0,0.15153878724399975
Lower Siang,42.0,0.09359748623894101
Lucknow Commissionarate,16009.0,35.67624183807635
Ludhiana Rural,856.0,1.9076059100127023
Lunglei,186.0,0.4145031533438816
Madhepura,4253.0,9.477859737481337
Madhubani,5442.0,12.127560002674214
Madurai,6180.0,13.772201546587034
Madurai City,4187.0,9.330777973391571
Mahabubabad,2238.0,4.987408909589285
Mahabubnagar,3126.0,6.9663271900697525
Maharajganj,5022.0,11.191585140284804
Mahasamund,1534.0,3.418536759298465
Mahendergarh,3389.0,7.552425734851692
Mahisagar,1351.0,3.0107191406859357
Mahoba,1102.0,2.4558197579836425
Mainpuri,5126.0,11.423350344305039
Majuli,193.0,0.43010273438370517
Malappuram,18964.0,42.261493548458986
Malda,9801.0,21.84164196733002
Malerkotla,509.0,1.1343123927528804
Malkangiri,1877.0,4.182916230249816
Mamit,150.0,0.33427673656764645
Mandi,1907.0,4.249771577563346
Mandla,2704.0,6.025895304526107
Mandsaur,4239.0,9.446660575401689
Mandya,4932.0,10.991019098344216
Manendragarh-Chirmiri-Bharatpur,1591.0,3.54556191919417
Mangaluru City,2122.0,4.728901566643639
Mangan (North),27.0,0.06016981258217636
Mansa,1787.0,3.9823501883092285
Mathura,8536.0,19.0225748222762
Mau,2974.0,6.627593430347871
Mayiladuthurai,2403.0,5.355113319813697
Mayurbhanj,7183.0,16.00739865843603
Medak,2864.0,6.38245715686493
Meerut,9158.0,20.408709023243375
Mehsana,3266.0,7.278318810866223
Metro,6262.0,13.954939495910681
Mira Bhayandar Vasai Virar Commr,8169.0,18.204711073474027
Mirzapur,2942.0,6.5562810598801065
Moga,1304.0,2.9059790965614067
Mohla-Manpur-Ambagarh Chouki,332.0,0.7398658436030575
Mokokchung,43.0,0.09582599781605865
Mon,82.0,0.18273794932364673
Moradabad,4013.0,8.943016958973102
Morbi,4287.0,9.553629131103335
Morena,6907.0,15.39232946315156
Morigaon,1591.0,3.54556191919417
Motihari,10991.0,24.493570744100015
Muktsar,769.0,1.7137254028034676
Mulug,826.0,1.8407505626991734
Mumbai Commr,44873.0,100.0
Mumbai Railway,15662.0,34.90294832081653
Mungali,991.0,2.2084549729235845
Munger,3114.0,6.939585051144341
Murshidabad Police District,9065.0,20.201457446571435
Muzaffarnagar,5174.0,11.530318900006685
Muzaffarpur,11323.0,25.233436587703075
Muzaffarpur Railway,938.0,2.0903438593363495
Mysuru City,2553.0,5.689390056381343
Mysuru District,4542.0,10.121899583268334
NRI Wing,120.0,0.2674213892541172
NTR,11157.0,24.863503665901547
Nabarangpur,2235.0,4.9807233748579325
Nagaon,2836.0,6.3200588327056355
Nagapattinam,1616.0,3.6012747086221113
Nagarkurnool,2306.0,5.138947696833284
Nagaur,3955.0,8.81376328750028
Nagpur Commr,17297.0,38.54656474940387
Nagpur Railway,1559.0,3.4742495487264056
Nagpur Rural,9868.0,21.990952242996904
Nainital,1633.0,3.6391594054331113
Nalanda,8382.0,18.679384039400084
Nalbari,1409.0,3.139972812158759
Nalgonda,5318.0,11.851224567111625
Namakkal,3397.0,7.570253827468634
Namchi (South),111.0,0.24736478506005838
Namsai,118.0,0.2629643660998819
Nanded,7621.0,16.98348672921356
Nandurbar,2252.0,5.018608071668932
Nandyal,4161.0,9.272836672386513
Narayanpet,1140.0,2.5405031979141133
Narayanpur,245.0,0.5459853363938225
Narcotic,0.0,0.0
Narcotics,0.0,0.0
Narmada,2930.0,6.529538920954694
Narmadapuram,4805.0,10.707998128050274
Narsinghpur,3536.0,7.880016936687986
Nasik Commr,4768.0,10.625543199696923
Nasik Rural,8864.0,19.75352661957079
Naugachia,1755.0,3.9110378178414638
Navi Mumbai,6475.0,14.429612461836738
Navsari,4726.0,10.531945713457981
Nawadah,5647.0,12.58440487598333
Nayagarh,3024.0,6.739019009203753
Neem Ka Thana,3735.0,8.323490740534398
Neemuch,2589.0,5.769616473157578
New Delhi,2784.0,6.204176230695518
Nicobar,11.0,0.024513627348294074
Nilgiris,694.0,1.5465870345196444
Nirmal,1686.0,3.7572705190203464
Niwari,1531.0,3.411851224567112
Nizamabad Commissionerate,5751.0,12.816170080003566
Noklak,2.0,0.004457023154235287
Noney,26.0,0.05794130100505872
North,13808.5,30.772402112628978
North & Middle Andaman,88.0,0.1961090187863526
North Goa,1228.0,2.7366122167004656
North-East,26663.0,59.41880418068772
North-West,28431.0,63.35881264903171
Nuapada,1906.0,4.247543065986227
Nuh,3011.0,6.710048358701223
Nurpur,715.0,1.593385777639115
Other Units,17.0,0.037884696810999936
Outer,23750.0,52.92714995654403
Outer North,15993.0,35.64058565284247
Pakkessang,16.0,0.035656185233882295
Pakur,724.0,1.6134423818331738
Pakyong (East),57.0,0.12702515989570565
Palakkad,15609.0,34.78483720722929
Palamu,2803.0,6.2465179506607535
Palghar,3594.0,8.00927060816081
Pali,4996.0,11.133643839279745
Palnadu,4554.0,10.148641722193746
Palwal,4299.0,9.580371270028747
Panchkula,3032.0,6.756847101820694
Panchmahal,3840.0,8.55748445613175
Panipat,8003.0,17.8347781516725
Panna,3324.0,7.407572482339046
Papum Pare City,918.0,2.0457736277939964
Papum Pare Rural,134.0,0.2986205513337642
Parbhani,4783.0,10.658970873353688
Parvathipuram Manyam,2734.0,6.092750651839636
Paschim Medinipur,4667.0,10.40046353040804
Patan,3751.0,8.359146925768279
Pathanamthitta,8811.0,19.635415505983552
Pathankot,430.0,0.9582599781605866
Patiala,3137.0,6.9908408174180465
Patna,28475.0,63.45686715842489
Patna Railway,2148.0,4.786842867648698
Pauri Garhwal,302.0,0.6730104962895282
Perambalur,1534.0,3.418536759298465
Peren,22.0,0.04902725469658815
Phalodi,1489.0,3.3182537383281705
Phek,26.0,0.05794130100505872
Pherzawl,14.0,0.031199162079647003
Pilibhit,3819.0,8.510685713012279
Pimpri Chinchwad City,10238.0,22.81550152653043
Pithoragarh,381.0,0.849062910881822
Poonch,996.0,2.2195975308091724
